brewery,beer_name,beer_style,availability,abv,master_style
Eurisko Beer Company,Northwest Passage,American-Style Pale Ale,Year Round,5.5,Pale Ale
Eurisko Beer Company,Pennycup Coffee Porter,Robust Porter,Year Round,7.0,Porter
Eurisko Beer Company,Pilz,German-Style Pilsener,Year Round,4.5,Other
Eurisko Beer Company,Riot Spray,American-Style Pale Ale,Year Round,5.2,Pale Ale
Eurisko Beer Company,Rye-It Spray,American-Style Pale Ale,Year Round,5.2,Pale Ale
Eurisko Beer Company,Saison Sec,French & Belgian-Style Saison,Limited,5.0,Saison
Eurisko Beer Company,Sans Sextant,American-Style India Pale Ale,Year Round,7.2,IPA
Eurisko Beer Company,Short Coxe White,Belgian-Style White (or Wit) / Belgian-Style Wheat,Seasonal,5.0,Other
Eurisko Beer Company,Slide Life,American-Style Lager,Year Round,11.7,Lager
Eurisko Beer Company,Soft Light,American-Style India Pale Ale,Seasonal,5.4,IPA
Eurisko Beer Company,Tap-Shackled,British-Style Imperial Stout,Limited,11.0,Stout
Eurisko Beer Company,Tap-Shackled w/ Yemen Coffee & Vanilla Bean,British-Style Imperial Stout,Year Round,11.0,Stout
Eurisko Beer Company,Terms of Endearment,French & Belgian-Style Saison,Limited,6.7,Saison
Eurisko Beer Company,There's a whale in the percolator,German-Style Doppelbock,Year Round,8.0,Other
Eurisko Beer Company,Top-Heavy,American-Style Imperial Stout,Year Round,12.3,Stout
Eurisko Beer Company,Tulpa Dipa,American-Style India Pale Ale,Year Round,8.0,IPA
Eurisko Beer Company,Vibration Theory,American-Style India Pale Ale,Year Round,6.6,IPA
Eurisko Beer Company,Volksfest Lager,German-Style Märzen,Seasonal,5.5,Other
Eurisko Beer Company,Weissbier,South German-Style Hefeweizen / Hefeweissbier,Limited,4.9,Hefeweizen
Eurisko Beer Company,Who's Annie?,American-Style India Pale Ale,Year Round,6.7,IPA
Eurisko Beer Company,Wilcsek (Will-Check),American-Style India Pale Ale,Year Round,7.4,IPA
Eurisko Beer Company,Witbier,Belgian-Style White (or Wit) / Belgian-Style Wheat,Year Round,5.0,Other
Eurisko Beer Company,Zwickl,Kellerbier or Zwickelbier,Year Round,5.3,Other
Eurisko Beer Company,¿CÓMO ESTÁ ANNIE?,American-Style India Pale Ale,Year Round,6.7,IPA
Fitzgerald's Irish Pub,Fitz Ale,American-Style Lager,,,Lager
Flying Machine Brewing Company,Craters of Callisto,Mixed Culture Brett Beer,,7.3,Other
Flying Machine Brewing Company,Forgotten Farms & Fields of Stone,Specialty Honey Lager or Ale,,9.0,Ale
Flying Machine Brewing Company,Governable Parachutes,American-Style India Pale Lager,,4.8,Lager
Flying Machine Brewing Company,Neo-Bohemia,Contemporary American-Style Pilsener,,5.3,Other
Flying Machine Brewing Company,Vimana,German-Style Kölsch / Köln-Style Kölsch,,5.1,Other
Foothills Brewing Company,BA Sexual Chocolate,American-Style Imperial Stout,Limited,9.75,Stout
Foothills Brewing Company,Baltic Porter,Baltic-Style Porter,Limited,9.0,Porter
Foothills Brewing Company,Blendiculous Series,American-Style Brown Ale,,8.0,Ale
Foothills Brewing Company,Carolina Blonde,Golden or Blonde Ale,Year Round,3.8,Ale
Foothills Brewing Company,Carolina Strawberry,Fruit Beer,Year Round,4.3,Other
Foothills Brewing Company,Cottonwood Pumpkin Ale,Pumpkin Beer,Seasonal,5.3,Other
Foothills Brewing Company,Craft Happiness,American-Style India Pale Ale,,6.5,IPA
Foothills Brewing Company,Craft Happiness IPA Project - Bookworm IPA,American-Style India Pale Ale,,6.3,IPA
Foothills Brewing Company,Frostbite Black IPA,American-Style India Pale Ale,Winter,6.5,IPA
Foothills Brewing Company,Gruffmeister Maibock,German-Style Heller Bock/Maibock,Seasonal,8.0,Other
Foothills Brewing Company,Hop Job,Session India Pale Ale,Summer,5.0,IPA
Foothills Brewing Company,Hop of the Month - October 2016 (Loral),Extra Special Bitter,,5.7,Other
Foothills Brewing Company,Hop of the Month - September 2016 (Azacca),American-Style India Pale Ale,,5.7,IPA
Foothills Brewing Company,Hoppy Medium,American-Style Brown Ale,Seasonal,7.8,Ale
Foothills Brewing Company,Hoppyum IPA,American-Style India Pale Ale,Year Round,6.3,IPA
Foothills Brewing Company,IPA of the Month September 2015 Coach,American-Style India Pale Ale,,6.9,IPA
Foothills Brewing Company,Jade IPA,American-Style India Pale Ale,Year Round,7.4,IPA
Foothills Brewing Company,People's BBL Aged Porter,Robust Porter,Limited,6.0,Porter
Foothills Brewing Company,People's Porter,Robust Porter,Year Round,6.25,Porter
Foothills Brewing Company,Pilot Mountain Pale Ale,American-Style Pale Ale,Spring,5.5,Pale Ale
Foothills Brewing Company,Sauvignon Blanc Wood Age Jade IPA,American-Style India Pale Ale,,7.4,IPA
Foothills Brewing Company,Seeing Double IPA,Imperial or Double India Pale Ale,Limited,9.5,IPA
Foothills Brewing Company,Sexual Chocolate,American-Style Imperial Stout,Limited,10.0,Stout
Foothills Brewing Company,Tangled Vine Berry Rosé Ale,Fruit Beer,,4.5,Other
Foothills Brewing Company,Thousand Smiles Golden Ale,Golden or Blonde Ale,,4.4,Ale
Foothills Brewing Company,Torch Pilsner,Bohemian-Style Pilsener,Year Round,5.3,Other
Fortnight Brewing Company,18mo BBA English Breakfast Stout Nitro,American-Style Imperial Stout,,9.5,Stout
Fortnight Brewing Company,3 Lions- Best Bitter Ale,Ordinary Bitter,,4.0,Other
Fortnight Brewing Company,Anarchy Doppelbock,German-Style Doppelbock,,7.5,Other
Fortnight Brewing Company,Beer Barrel Aged Ale,Strong Ale,,9.2,Ale
Fortnight Brewing Company,Bespoke Blonde Ale,Golden or Blonde Ale,,5.0,Ale
Fortnight Brewing Company,Carolina Amber,Extra Special Bitter,,5.5,Other
Fortnight Brewing Company,Classic Session Ale,Classic English-Style Pale Ale,Year Round,3.9,Pale Ale
Fortnight Brewing Company,Coffee Amber,American-Style Amber/Red Ale,Limited,5.5,Ale
Fortnight Brewing Company,Electric Overdrive,Berliner-Style Weisse (Wheat),,3.5,Other
Fortnight Brewing Company,English IPA,English-Style India Pale Ale,Year Round,5.5,IPA
Fortnight Brewing Company,English Session Ale,Ordinary Bitter,Year Round,3.3,Other
Fortnight Brewing Company,ESB,Extra Special Bitter,Year Round,5.4,Other
Fortnight Brewing Company,Imperial Blonde Ale,Belgian-Style Blonde Ale,Limited,7.1,Ale
Fortnight Brewing Company,No Flocky For Kitty,South German-Style Hefeweizen / Hefeweissbier,,7.0,Hefeweizen
Fortnight Brewing Company,Nut Brown Ale,English-Style Brown Ale,Year Round,4.5,Ale
Fortnight Brewing Company,Offbeat Wheat,American-Style Wheat Beer,Summer,5.1,Wheat Beer
Fortnight Brewing Company,Pendragon Porter,Robust Porter,Year Round,4.8,Porter
Fortnight Brewing Company,X-Pat IPA,English-Style India Pale Ale,Year Round,6.1,IPA
Fourth Creek Brewing Co.,Campfire,American-Style Stout,Year Round,6.0,Stout
Fourth Creek Brewing Co.,Dank Mofo,Imperial or Double India Pale Ale,Year Round,10.6,IPA
Fourth Creek Brewing Co.,Friends in Low Places,American-Style India Pale Ale,Year Round,7.7,IPA
Fourth Creek Brewing Co.,Holy Water,Specialty Beer,Year Round,4.7,Other
Fourth Creek Brewing Co.,Mr./Mrs. Precursor,American-Style India Pale Ale,Year Round,7.4,IPA
Fourth Creek Brewing Co.,Mrs. Mango,American-Style India Pale Ale,Year Round,7.4,IPA
Fourth Creek Brewing Co.,Pacific Gem,American-Style Pale Ale,Year Round,6.4,Pale Ale
Fourth Creek Brewing Co.,Perkalicious,Robust Porter,Year Round,5.5,Porter
Fourth Creek Brewing Co.,Pumpkin' to Talk About,Pumpkin Beer,Seasonal,6.6,Other
Fourth Creek Brewing Co.,Stone Chaser 3.0,Golden or Blonde Ale,Year Round,4.9,Ale
Fourth Creek Brewing Co.,Tiramisu,Robust Porter,Year Round,5.3,Porter
Fourth Creek Brewing Co.,Weekend @ Garrett's,American-Style Imperial Stout,Year Round,8.7,Stout
Fourth Creek Brewing Co.,Weis Weis Baby,South German-Style Hefeweizen / Hefeweissbier,Year Round,4.0,Hefeweizen
Fox Hill Meadery,Ginger-Apricot Honey Wine,Other Fruit Melomel,,12.0,Other
Fox Hill Meadery,Traditional Mead,Semi-Sweet Mead,,13.0,Other
Wicked Weed Brewing Company,Abundance,American-Style India Pale Ale,,6.7,IPA
Wicked Weed Brewing Company,Aicha,Wood- and Barrel-Aged Sour Beer,,6.4,Other
Wicked Weed Brewing Company,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,,7.0,Other
Wicked Weed Brewing Company,Angel of Darkness,American-Style Sour Ale,,11.0,Ale
Wicked Weed Brewing Company,Appalachia,Session India Pale Ale,,4.7,IPA
Wicked Weed Brewing Company,Arcanic,Belgian-Style Dark Strong Ale,,12.1,Ale
Wicked Weed Brewing Company,Artist Formerly Known As...,American-Style Pale Ale,,6.4,Pale Ale
Wicked Weed Brewing Company,Astronomical,American-Style India Pale Ale,,7.7,IPA
Wicked Weed Brewing Company,Aye-Aye Stout,American-Style Imperial Stout,,8.5,Stout
Wicked Weed Brewing Company,Barrel Aged French Toast,American-Style Imperial Stout,,10.0,Stout
Wicked Weed Brewing Company,Barrel Aged Xibalba,Pumpkin Beer,,9.6,Other
Wicked Weed Brewing Company,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,Limited,10.3,IPA
Wicked Weed Brewing Company,Barrel-Aged Lunatic Blonde,Golden or Blonde Ale,,7.0,Ale
Wicked Weed Brewing Company,Basic White Bier,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.7,Other
Wicked Weed Brewing Company,Bedeviled Golden Strong Ale,Belgian-Style Pale Strong Ale,,9.8,Ale
Wicked Weed Brewing Company,Belgian Sting,Belgian-Style Tripel,,7.8,Other
Wicked Weed Brewing Company,Benevolence,American-Style Sour Ale,,0.0,Ale
Wicked Weed Brewing Company,Black Angel,Wood- and Barrel-Aged Sour Beer,Limited,6.6,Other
Wicked Weed Brewing Company,Blind Faith Dark Strong,Belgian-Style Dark Strong Ale,Limited,11.0,Ale
Wicked Weed Brewing Company,Bombadile,American-Style Sour Ale,,4.2,Ale
Wicked Weed Brewing Company,Botanica,Wild Beer,,7.2,Other
Wicked Weed Brewing Company,Bourbon Barrel Aged Milk & Cookies,American-Style Imperial Stout,Winter,9.5,Stout
Wicked Weed Brewing Company,Bourbon Barrel Aged Oblivion,Wood- and Barrel-Aged Sour Beer,,10.5,Other
Wicked Weed Brewing Company,Bramble Barrel,Wood- and Barrel-Aged Sour Beer,,8.6,Other
Wicked Weed Brewing Company,Brett Burglar,Brett Beer,,7.3,Other
Wicked Weed Brewing Company,Brettaberry,French & Belgian-Style Saison,,5.5,Saison
Wicked Weed Brewing Company,Brettabolic,French & Belgian-Style Saison,,5.9,Saison
Wicked Weed Brewing Company,Bretticent Wild Ale,French & Belgian-Style Saison,,6.5,Saison
Wicked Weed Brewing Company,BURST (Passionfruit Lychee),American-Style Sour Ale,,4.5,Ale
Wicked Weed Brewing Company,CaliMost Gose,Contemporary Gose,,4.1,Other
Wicked Weed Brewing Company,Canvas Series: Dalliance,Wild Beer,Limited,5.4,Other
Wicked Weed Brewing Company,Cardinal Sin Red,Belgian-Style Flanders Oud Bruin or Oud Red Ales,,,Other
Wicked Weed Brewing Company,Cherry Key Lime Burst,American-Style Sour Ale,Not Available,4.5,Ale
Wicked Weed Brewing Company,Chocolate Covered Black Angel,Wood- and Barrel-Aged Sour Beer,,7.2,Other
Wicked Weed Brewing Company,Clarence,Traditional German-Style Bock,,5.1,Other
Wicked Weed Brewing Company,Coastal Love,Juicy or Hazy India Pale Ale,,6.3,IPA
Wicked Weed Brewing Company,Coolcumber,American-Style Pale Ale,Limited,5.3,Pale Ale
Wicked Weed Brewing Company,Dark & Stormy,Wood- and Barrel-Aged Strong Beer,,10.5,Other
Wicked Weed Brewing Company,Dark Age Bourbon Stout,Wood- and Barrel-Aged Strong Beer,,,Other
Wicked Weed Brewing Company,Dark Age Coffee,American-Style Imperial Stout,,11.8,Stout
Wicked Weed Brewing Company,Dark Arts,American-Style Imperial Stout,,15.0,Stout
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels W/ Espresso),American-Style Imperial Stout,Limited,15.0,Stout
Wicked Weed Brewing Company,Dark Arts Imperial Stout (Aged In Tequila Barrels),American-Style Imperial Stout,Limited,15.0,Stout
Wicked Weed Brewing Company,Decoy Red,American-Style Amber/Red Ale,,,Ale
Wicked Weed Brewing Company,Denouement,Wood- and Barrel-Aged Sour Beer,,7.4,Other
Wicked Weed Brewing Company,Denouncement,Belgian-Style Tripel,,7.4,Other
Wicked Weed Brewing Company,Devilwood,Belgian-Style Blonde Ale,,9.7,Ale
Wicked Weed Brewing Company,Dirndl Bock,Traditional German-Style Bock,,8.0,Other
Wicked Weed Brewing Company,Divergence,Brown Porter,,7.6,Porter
Wicked Weed Brewing Company,Don't Tread on Maize,American-Style Pale Ale,,5.7,Pale Ale
Wicked Weed Brewing Company,El Paraiso,American-Style Imperial Stout,,9.5,Stout
Wicked Weed Brewing Company,El Paraiso Imperial Coffee Stout,American-Style Imperial Stout,,9.5,Stout
Wicked Weed Brewing Company,Empress,Belgian-Style Tripel,,9.2,Other
Wicked Weed Brewing Company,Empyrean Barrel Aged DIPA,Imperial or Double India Pale Ale,,,IPA
Wicked Weed Brewing Company,Ferme De Chien,American-Style Sour Ale,,5.8,Ale
Wicked Weed Brewing Company,Ferme de Grand-Père,Wild Beer,,7.0,Other
Wicked Weed Brewing Company,Fille De Ferme,French & Belgian-Style Saison,,4.1,Saison
Wicked Weed Brewing Company,Framboos Morte,Belgian-Style Fruit Lambic,,5.8,Other
Wicked Weed Brewing Company,Freak of Nature Double IPA,Imperial or Double India Pale Ale,,8.5,IPA
Wicked Weed Brewing Company,Freaky Friday DIPA,Imperial or Double India Pale Ale,,9.4,IPA
Wicked Weed Brewing Company,French Toast Stout,Specialty Stouts,,8.5,Other
Wicked Weed Brewing Company,Garçon de Ferme,Wild Beer,,6.2,Other
Wicked Weed Brewing Company,Genesis Blonde Sour,Wood- and Barrel-Aged Sour Beer,,6.6,Other
Wicked Weed Brewing Company,German Chocolate Cake,American-Style Imperial Stout,,8.8,Stout
Wicked Weed Brewing Company,Gluten FREEk,Gluten-Free Beer,,,Other
Wicked Weed Brewing Company,Glutenous Minimus,American-Style India Pale Ale,,6.9,IPA
Wicked Weed Brewing Company,Golden Angel,Wild Beer,Limited,7.0,Other
Wicked Weed Brewing Company,Guajava,Wild Beer,,6.6,Other
Wicked Weed Brewing Company,Happy Blending,Wild Beer,,6.6,Other
Wicked Weed Brewing Company,Heresy Brown Ale,American-Style Brown Ale,,7.4,Ale
Wicked Weed Brewing Company,Hop Burglar IPA,American-Style India Pale Ale,,6.5,IPA
Wicked Weed Brewing Company,Hop Cocoa,Brown Porter,,6.5,Porter
Wicked Weed Brewing Company,Horti-Glory,French & Belgian-Style Saison,,6.0,Saison
Wicked Weed Brewing Company,Imperial Coolcumber,Wood- and Barrel-Aged Beer,,9.0,Other
Wicked Weed Brewing Company,Incandescent,Wood- and Barrel-Aged Sour Beer,,7.0,Other
Wicked Weed Brewing Company,Incorangeible,American-Style India Pale Ale,,7.5,IPA
Wicked Weed Brewing Company,Indulgence - Royal Cache Barrel Reserve Series,Brett Beer,,9.6,Other
Wicked Weed Brewing Company,Infidel Porter,Brown Porter,,6.8,Porter
Wicked Weed Brewing Company,Iron Lady Black IPA,American-Style India Pale Ale,,9.5,IPA
Wicked Weed Brewing Company,Juiceless IPA,American-Style India Pale Ale,,7.7,IPA
Wicked Weed Brewing Company,Khatta Masala,American-Style Sour Ale,,7.7,Ale
Wicked Weed Brewing Company,La Bonté With Figs,Wood- and Barrel-Aged Sour Beer,,6.5,Other
Wicked Weed Brewing Company,La Bonté With Pear,Wood- and Barrel-Aged Sour Beer,,6.5,Other
Wicked Weed Brewing Company,La Bonte with Plum,American-Style Sour Ale,Year Round,6.5,Ale
Wicked Weed Brewing Company,La Mûre Morte,American-Style Sour Ale,,6.4,Ale
Wicked Weed Brewing Company,Le Peche Blanc,French & Belgian-Style Saison,,,Saison
Wicked Weed Brewing Company,Lieutenant Dank,American-Style India Pale Ale,,6.6,IPA
Wicked Weed Brewing Company,Lil' Hershey Brown Ale,American-Style Brown Ale,,5.2,Ale
Wicked Weed Brewing Company,Lost Toys Blend  #2,Wood- and Barrel-Aged Sour Beer,,6.4,Other
Wicked Weed Brewing Company,Lunatic Blonde,Belgian-Style Blonde Ale,,6.5,Ale
Wicked Weed Brewing Company,Lupulin Lab,American-Style India Pale Ale,,7.2,IPA
Wicked Weed Brewing Company,Lusus Naturae,Imperial or Double India Pale Ale,Limited,8.4,IPA
Wicked Weed Brewing Company,Malice,American-Style Sour Ale,,6.0,Ale
Wicked Weed Brewing Company,Marina,Wood- and Barrel-Aged Sour Beer,,6.5,Other
Wicked Weed Brewing Company,Medora,Wild Beer,,6.6,Other
Wicked Weed Brewing Company,Melisseus Lavender Honey Ale,Specialty Honey Lager or Ale,,6.2,Ale
Wicked Weed Brewing Company,Metatropics,Wild Beer,,6.2,Other
Wicked Weed Brewing Company,Milk & Cookies,Sweet or Cream Stout,,7.2,Stout
Wicked Weed Brewing Company,Mint Julep,American-Style Amber/Red Ale,,9.7,Ale
Wicked Weed Brewing Company,Montmaretto,Wild Beer,,6.9,Other
Wicked Weed Brewing Company,Montmartre,American-Style Sour Ale,,6.9,Ale
Wicked Weed Brewing Company,Moogfest Chocolate IPA,American-Style India Pale Ale,,,IPA
Wicked Weed Brewing Company,Mosaic Saison,French & Belgian-Style Saison,,6.5,Saison
Wicked Weed Brewing Company,Myrtille,American-Style Sour Ale,,6.0,Ale
Wicked Weed Brewing Company,Napoleon Complex,American-Style Pale Ale,,5.2,Pale Ale
Wicked Weed Brewing Company,Nectarphillia,American-Style Sour Ale,,,Ale
Wicked Weed Brewing Company,Oak Fermented Cider,Fruit Cider,,7.0,Other
Wicked Weed Brewing Company,Oaxacan,Wood- and Barrel-Aged Sour Beer,,7.1,Other
Wicked Weed Brewing Company,Oblivion,Wood- and Barrel-Aged Sour Beer,Limited,8.7,Other
Wicked Weed Brewing Company,Oh My Quad,Belgian-Style Quadrupel,,13.4,Other
Wicked Weed Brewing Company,Old Fashioned,Wood- and Barrel-Aged Beer,,9.0,Other
Wicked Weed Brewing Company,Omnipresence,American-Style Sour Ale,,0.0,Ale
Wicked Weed Brewing Company,Orange Peel Pale Ale,American-Style Pale Ale,,5.5,Pale Ale
Wicked Weed Brewing Company,Pacificmost Gose,Contemporary Gose,,4.1,Other
Wicked Weed Brewing Company,Pallino Wit Biere,Belgian-Style White (or Wit) / Belgian-Style Wheat,,5.6,Other
Wicked Weed Brewing Company,Pearfigt,American-Style India Pale Ale,,6.3,IPA
Wicked Weed Brewing Company,Permeo,Wood- and Barrel-Aged Sour Beer,,6.4,Other
Wicked Weed Brewing Company,Pernicious IPA,American-Style India Pale Ale,,7.3,IPA
Wicked Weed Brewing Company,Persistence,American-Style Sour Ale,,9.0,Ale
Wicked Weed Brewing Company,Pick Me! Pale Ale: Walt's Pick,American-Style Pale Ale,,5.2,Pale Ale
Wicked Weed Brewing Company,Plainsdealer,Wood- and Barrel-Aged Sour Beer,,8.0,Other
Wicked Weed Brewing Company,Pompoen,American-Style Sour Ale,,0.0,Ale
Wicked Weed Brewing Company,Poperinge Saison,French & Belgian-Style Saison,,7.3,Saison
Wicked Weed Brewing Company,Prevalence,Wood- and Barrel-Aged Sour Beer,Limited,7.2,Other
Wicked Weed Brewing Company,Pumpkin Up The Volume,Pumpkin Beer,Limited,7.3,Other
Wicked Weed Brewing Company,Queen Bee Stout,American-Style Imperial Stout,,9.0,Stout
Wicked Weed Brewing Company,Recurrent,American-Style Sour Ale,,0.0,Ale
Wicked Weed Brewing Company,Red Angel,Wild Beer,,7.0,Other
Wicked Weed Brewing Company,Resonare,American-Style Sour Ale,,6.0,Ale
Wicked Weed Brewing Company,Reticent Saison,French & Belgian-Style Saison,,6.5,Saison
Wicked Weed Brewing Company,Reverence,Belgian-Style Pale Ale,,,Pale Ale
Wicked Weed Brewing Company,Rubus Viola,American-Style Sour Ale,,7.6,Ale
Wicked Weed Brewing Company,S'mores Stout,American-Style Imperial Stout,,9.2,Stout
Wicked Weed Brewing Company,Saison V: Chocolate Raspberry,French & Belgian-Style Saison,,7.0,Saison
Wicked Weed Brewing Company,Sandiaca,Wood- and Barrel-Aged Sour Beer,,7.6,Other
Wicked Weed Brewing Company,Sauvage Wine Barrel Saison,French & Belgian-Style Saison,,,Saison
Wicked Weed Brewing Company,Serenity,French & Belgian-Style Saison,,5.5,Saison
Wicked Weed Brewing Company,Serotina,American-Style Sour Ale,,8.0,Ale
Wicked Weed Brewing Company,Silencio,Wood- and Barrel-Aged Sour Beer,,7.4,Other
Wicked Weed Brewing Company,Sir Ryan the Pounder,Session Beer,,5.2,Other
Wicked Weed Brewing Company,Southern Ambrosia,Fruit Beer,,10.0,Other
Wicked Weed Brewing Company,Super Flare,American-Style India Pale Ale,,7.5,IPA
Wicked Weed Brewing Company,Sweet Talker IPA,American-Style India Pale Ale,,4.0,IPA
Wicked Weed Brewing Company,Terra Locale Appalachia,French & Belgian-Style Saison,,7.2,Saison
Wicked Weed Brewing Company,Terra Merita,Wood- and Barrel-Aged Sour Beer,,5.7,Other
Wicked Weed Brewing Company,Thirst Puncher Experimental IPA,American-Style India Pale Ale,,7.5,IPA
Wicked Weed Brewing Company,Tributary,French & Belgian-Style Saison,,8.8,Saison
Wicked Weed Brewing Company,Tropicmost Passionfruit Gose,Leipzig-Style Gose,,4.1,Other
